MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Sep-17,11312.79,12.43,MOMENTUM,MOMENTUM,MOMENTUM,18299.62,12291.73,16784.96423666179
Oct-17,11987.32,10.37,MOMENTUM,MOMENTUM,MOMENTUM,19390.75,13024.63,17785.77499391579
Nov-17,11757.39,4.22,MOMENTUM,MOMENTUM,MOMENTUM,19018.81,12774.8,17444.624240924208
Dec-17,12517.94,10.65,MOMENTUM,MOMENTUM,MOMENTUM,20249.08,13601.17,18573.064223474328
Jan-18,12408.17,3.51,MOMENTUM,MOMENTUM,MOMENTUM,20071.51,13481.9,18410.19675008727
Feb-18,11989.73,1.98,MOMENTUM,MOMENTUM,MOMENTUM,19394.64,13027.25,17789.350748774705
Mar-18,11798.85,-5.74,CASH,CASH,CASH,19394.64,13027.25,17789.350748774705
Apr-18,12777.55,2.98,CASH,CASH,CASH,19394.64,13027.25,17789.350748774705
May-18,12479.72,4.09,CASH,CASH,CASH,19394.64,13027.25,17789.350748774705
Jun-18,12419.59,5.26,CASH,MOMENTUM,MOMENTUM,19301.2,13027.25,17703.63779523698
Jul-18,12907.43,1.02,CASH,MOMENTUM,MOMENTUM,20059.35,13027.25,18399.03455648501
Aug-18,13608.11,9.04,CASH,MOMENTUM,MOMENTUM,21148.27,13027.25,19397.826378949896
Sep-18,12478.72,0.48,CASH,MOMENTUM,CASH,19393.09,13027.25,19397.826378949896
Oct-18,11760.68,-8.88,CASH,CASH,CASH,19393.09,13027.25,19397.826378949896
Nov-18,12358.31,-9.18,CASH,CASH,CASH,19393.09,13027.25,19397.826378949896
Dec-18,12262.32,-1.73,CASH,CASH,CASH,19393.09,13027.25,19397.826378949896
Jan-19,12599.94,7.14,CASH,MOMENTUM,MOMENTUM,19927.04,13027.25,19931.90917421711
Feb-19,12542.85,1.49,CASH,MOMENTUM,MOMENTUM,19836.75,13027.25,19841.59821283507
Mar-19,13164.26,7.36,CASH,MOMENTUM,MOMENTUM,20819.53,13027.25,20824.609852569087
Apr-19,13503.43,7.17,CASH,MOMENTUM,MOMENTUM,21355.93,13027.25,21361.144600720207
May-19,13322.58,6.22,CASH,MOMENTUM,MOMENTUM,21069.91,13027.25,21075.057065846457
Jun-19,13242.39,0.59,CASH,MOMENTUM,CASH,20943.09,13027.25,21075.057065846457
Jul-19,12239.69,-9.36,CASH,CASH,CASH,20943.09,13027.25,21075.057065846457
Aug-19,12156.58,-8.75,CASH,CASH,CASH,20943.09,13027.25,21075.057065846457
Sep-19,12848.03,-2.98,CASH,CASH,CASH,20943.09,13027.25,21075.057065846457
Oct-19,13162.14,7.54,CASH,MOMENTUM,MOMENTUM,21455.11,13027.25,21590.302296045404
Nov-19,13336.77,9.71,CASH,MOMENTUM,MOMENTUM,21739.77,13027.25,21876.753776576563
